[2019/10/20-00:00:00.076] [info] [exa.bee.BeeJob 6] [legacy]	Rotating additional logs
[2019/10/20-00:00:00.448] [info] [exa.bee.BeeJob 8] [GLcomponent.index.replication]	0: slice=0 instance=sxii0 is ready for reload
[2019/10/20-00:00:15.433] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522415334 successfully analyzed (0 add, 0 deletion, 12 updates, 13 checkpoints, 3.652KB) - Duration: 51.000ms
[2019/10/20-00:00:15.436] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:00:15.439] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:00:15.441] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:00:15.443] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:00:15.478] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522415453 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 1.000ms
[2019/10/20-00:00:15.519] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 70.223ms
[2019/10/20-00:00:15.521] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:00:15.558] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 39.231ms
[2019/10/20-00:00:15.565] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:00:20.874] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522420841 successfully analyzed (0 add, 0 deletion, 1 update, 1 checkpoint, 296B) - Duration: 11.000ms
[2019/10/20-00:00:20.876] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:00:20.878] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:00:20.880] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:00:20.886] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:00:20.940] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522420885 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 1.000ms
[2019/10/20-00:00:20.983] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 100.726ms
[2019/10/20-00:00:20.990] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:00:21.094] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 103.453ms
[2019/10/20-00:00:21.103] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:24.548] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522483430 successfully analyzed (0 add, 0 deletion, 12 updates, 13 checkpoints, 3.652KB) - Duration: 44.000ms
[2019/10/20-00:01:24.559] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:01:24.561] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:24.563] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:24.565] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:24.589] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522484568 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 1.000ms
[2019/10/20-00:01:24.617] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 77.301ms
[2019/10/20-00:01:24.633] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:01:24.672] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 46.951ms
[2019/10/20-00:01:24.676] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:28.979] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522488937 successfully analyzed (0 add, 0 deletion, 1 update, 1 checkpoint, 296B) - Duration: 9.000ms
[2019/10/20-00:01:28.982] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:01:28.989] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:28.991] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:28.993] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:01:29.018] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522488978 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 1.000ms
[2019/10/20-00:01:29.113] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 138.074ms
[2019/10/20-00:01:29.121] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:01:29.226] [info] [exa.bee.BeeJob 8] [GLcomponent.index.replication]	0: slice=0 instance=sxii0 is ready for reload
[2019/10/20-00:01:29.262] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 133.137ms
[2019/10/20-00:01:29.265] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:30.590] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522550523 successfully analyzed (0 add, 0 deletion, 12 updates, 13 checkpoints, 3.652KB) - Duration: 42.000ms
[2019/10/20-00:02:30.592] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:02:30.596] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:30.598] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:30.600] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:30.647] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522550614 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 0ns
[2019/10/20-00:02:30.651] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 59.651ms
[2019/10/20-00:02:30.667] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:02:30.702] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 33.255ms
[2019/10/20-00:02:30.707] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:36.053] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522556014 successfully analyzed (0 add, 0 deletion, 1 update, 1 checkpoint, 296B) - Duration: 11.000ms
[2019/10/20-00:02:36.055] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:02:36.062] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:36.065] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:36.069] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:02:36.096] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522556063 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 1.000ms
[2019/10/20-00:02:36.115] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 59.099ms
[2019/10/20-00:02:36.118] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:02:36.163] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 40.809ms
[2019/10/20-00:02:36.165] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:37.619] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522617562 successfully analyzed (0 add, 0 deletion, 12 updates, 13 checkpoints, 3.652KB) - Duration: 38.000ms
[2019/10/20-00:03:37.621] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:03:37.630] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:37.634] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:37.636] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:37.690] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522617653 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 1.000ms
[2019/10/20-00:03:37.692] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 65.005ms
[2019/10/20-00:03:37.694] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:03:37.738] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 46.231ms
[2019/10/20-00:03:37.741] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:43.115] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522623076 successfully analyzed (0 add, 0 deletion, 1 update, 1 checkpoint, 296B) - Duration: 10.000ms
[2019/10/20-00:03:43.118] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:03:43.124] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:43.127] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:43.129] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:43.157] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0.analysis.perSlice]	0: Job 1571522623132 successfully analyzed (0 add, 0 deletion, 0 update, 0 checkpoint, 0B) - Duration: 1.000ms
[2019/10/20-00:03:43.184] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 65.522ms
[2019/10/20-00:03:43.197] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Beginning import
[2019/10/20-00:03:43.330] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: Successfully imported (from MergedBuffers - 1) - Duration: 132.589ms
[2019/10/20-00:03:43.353] [info] [exa.bee.BeeJob 8] [GLcomponent.indexing.sxibg0]	0: No content in current transaction, commit is discarded. [checkAnalysisJobStarted='true', serial='-1']
[2019/10/20-00:03:43.416] [info] [exa.bee.BeeJob 8] [GLcomponent.index.replication]	0: slice=0 instance=sxii0 is ready for reload
