[2019/10/26-00:00:00.035] [info] [563383249@jtp-default-1] [exa.log.rotation]	Rotating additional logs
[2019/10/26-04:00:00.180] [info] [Waiting next query] [exa.search.api]	Slow query ! 144032
[2019/10/26-04:00:00.400] [info] [Preprocessing for query collapsing=&group=&hf=-1&limits=max_fetched_hits%3A0%2Cmax_fetched_hits_per_slice%3A0%2Cmax_kept_hits%3A0%2Chits_sampling%3A100&logic=sxisl&of=flea&q=availability%3Aaclfts&relevance=false&rt=disabled& ...[74 chars remaining]] [exa.search.runnerpool]	Created a new runner for logic sxisl ( 0 idle runner and 0 working runner) in 89ms
[2019/10/26-04:00:00.588] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.588] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.588] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.588] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.589] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.589] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.589] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.589] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.589] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.589] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.590] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.590] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.590] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.590] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.590] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.590] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.590] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.591] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.592] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.592] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.592] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.592] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.592] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.592] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
[2019/10/26-04:00:00.592] [warn] [140309665445632] [search.snippet.builder]	G49472: S49536: No language facet id set, will process with unknown language
