[2019/10/23-00:00:00.021] [info] [563383249@jtp-default-1] [exa.log.rotation]	Rotating additional logs
[2019/10/23-04:00:01.932] [info] [Waiting next query] [exa.search.api]	Slow query ! 1911763
[2019/10/23-04:00:02.335] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.335] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.335] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.335] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.335] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.335] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.336] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.337] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.338] [warn] [140308665411328] [search.snippet.builder]	G37952: S38016: No language facet id set, will process with unknown language
[2019/10/23-04:00:02.341] [info] [Processing query ST 37952 collapsing=&group=&hf=-1&limits=max_fetched_hits%3A0%2Cmax_fetched_hits_per_slice%3A0%2Cmax_kept_hits%3A0%2Chits_sampling%3A100&logic=sxisl&of=flea&q=availability%3Aaclfts&relevance=false&rt=disabled& ...[74 chars remaining]] [exa.search.runnerpool]	Release a runner that served 4 queries during 38821498s when having 0 working runner
[2019/10/23-04:00:02.341] [info] [Processing query ST 37952 collapsing=&group=&hf=-1&limits=max_fetched_hits%3A0%2Cmax_fetched_hits_per_slice%3A0%2Cmax_kept_hits%3A0%2Chits_sampling%3A100&logic=sxisl&of=flea&q=availability%3Aaclfts&relevance=false&rt=disabled& ...[74 chars remaining]] [exa.search.runnerpool]	Dropping runner for logic sxisl: pool is destroyed
[2019/10/23-04:00:02.485] [info] [ReportingConsumer-31] [reporting.file-publisher]	Reporting file rotation to: /busdata/dpmu/gbl0/data/cv/bin/../run/searchserver-ss0/search-reporting/search.csv.20191022.00000
[2019/10/23-04:00:02.489] [info] [ReportingConsumer-31] [reporting.file-publisher]	delete file /busdata/dpmu/gbl0/data/cv/bin/../run/searchserver-ss0/search-reporting/search.csv.20191008.00000
[2019/10/23-04:00:02.696] [info] [1607792885@jtp-resourceshare-1] [datashare]	share: Started datashare session on autosuggest_OnPremise_securedSuggest_ds6w_58_label
[2019/10/23-04:00:02.772] [info] [1415683059@jtp-resourceshare-6] [exa.io.datashare]	share: Switching DataShare to version 14
[2019/10/23-04:00:02.774] [info] [1415683059@jtp-resourceshare-6] [exa.io.datashare]	share: Garbage collecting datashare version 13
[2019/10/23-04:00:02.776] [info] [1415683059@jtp-resourceshare-6] [datashare]	share: Committed datashare session
[2019/10/24-00:00:00.013] [info] [563383249@jtp-default-1] [exa.log.rotation]	Rotating standard log
Log4NG: rotating logs now
