[2019/10/24-00:00:00.015] [info] [563383249@jtp-default-1] [exa.log.rotation]	Rotating additional logs
[2019/10/24-04:00:00.226] [info] [Waiting next query] [exa.search.api]	Slow query ! 203885
[2019/10/24-04:00:00.676] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.676] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.676] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.676] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.676] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.676] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.676] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.677] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.678] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.679] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.679] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.679] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.679] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.679] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
[2019/10/24-04:00:00.679] [warn] [140308253218560] [search.snippet.builder]	G38080: S38144: No language facet id set, will process with unknown language
