[2019/10/27-00:00:00.037] [info] [563383249@jtp-default-1] [exa.log.rotation]	Rotating additional logs
[2019/10/27-03:00:00.242] [info] [Waiting next query] [exa.search.api]	Slow query ! 192015
[2019/10/27-03:00:00.469] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.469] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.469] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.470] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.471] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.472] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.472] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.472] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.472] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
[2019/10/27-03:00:00.472] [warn] [140308375623424] [search.snippet.builder]	G49600: S49664: No language facet id set, will process with unknown language
