[2019/11/05-00:00:00.094] [info] [984138551@jtp-default-1] [exa.log.rotation]	Rotating additional logs
[2019/11/05-03:00:06.895] [info] [Waiting next query] [exa.search.api]	Slow query ! 5192471
[2019/11/05-03:00:14.672] [info] [139838851278592] [exa.tick.server]	Starting processing thread
[2019/11/05-03:00:14.766] [info] [Preprocessing for query collapsing=&group=&hf=-1&limits=max_fetched_hits%3A0%2Cmax_fetched_hits_per_slice%3A0%2Cmax_kept_hits%3A0%2Chits_sampling%3A100&logic=sxisl&of=flea&q=availability%3Aaclfts&relevance=false&rt=disabled& ...[74 chars remaining]] [exa.search.runnerpool]	Created a new runner for logic sxisl ( 0 idle runner and 0 working runner) in 2491ms
[2019/11/05-03:00:15.573] [info] [139838851278592] [exa.tick.dest]	G64: S128: creating remote connection to 127.0.0.1:16017-part-0
[2019/11/05-03:00:16.783] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.784] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
[2019/11/05-03:00:16.785] [warn] [139838851278592] [search.snippet.builder]	G64: S128: No language facet id set, will process with unknown language
