[2019/10/31-00:00:00.026] [info] [667957103@jtp-default-0] [exa.log.rotation]	Rotating additional logs
[2019/10/31-03:00:00.169] [info] [Waiting next query] [exa.search.api]	Slow query ! 129820
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.416] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.417] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.418] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.418] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.418] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.418] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
[2019/10/31-03:00:00.418] [warn] [140308990863104] [search.snippet.builder]	G52928: S52992: No language facet id set, will process with unknown language
