[2019/10/13-00:00:00.013] [info] [163938842@jtp-default-30] [exa.log.rotation]	Rotating additional logs
[2019/10/13-00:00:00.027] [info] [163938842@jtp-default-30] [indexingserver]	[MAMI] Run full compact for slices= null, sync=false
[2019/10/13-00:00:00.043] [info] [Compacter-sxibg0-32549] [compacter]	Starting full compaction task  [minGen='1', maxGen='3803']
[2019/10/13-00:00:00.062] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[1/43] Compacted attribute group '1' for gen0=1 gen1=3803 in 9.074ms
[2019/10/13-00:00:00.069] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[2/43] Compacted attribute group '2' for gen0=1 gen1=3803 in 5.969ms
[2019/10/13-00:00:00.070] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[3/43] Compaction of field 'text' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.070] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[4/43] Compaction of field 'categories' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.070] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[5/43] Compaction of field 'security' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.070] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[6/43] Compaction of field 'textbw' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.070] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[7/43] Compaction of field 'graph' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.070] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[8/43] Compaction of field 'cfgdicoid' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.072] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	Compacting field 'tenantvalue' for gen0=1 gen1=3803 didMin=1, didMax=14, didAddMax=14
[2019/10/13-00:00:00.079] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[9/43] Compacted field 'tenantvalue' for gen0=1 gen1=3803 in 6.805ms
[2019/10/13-00:00:00.079] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[10/43] Compaction of field 'hashforassemblythumbnail' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.079] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	Compacting field 'mxov' for gen0=1 gen1=3803 didMin=1, didMax=14, didAddMax=14
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[11/43] Compacted field 'mxov' for gen0=1 gen1=3803 in 1.605ms
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[12/43] Compaction of field 'mxphid' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[13/43] Compaction of field 'sxiclass_logicalid' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[14/43] Compaction of field 'sxiclass_cestamp' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[15/43] Compaction of field 'sxiclass_majorid' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[16/43] Compaction of field 'sxiclass_fsid' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[17/43] Compaction of field 'sxiclass_drivefolderpath' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[18/43] Compaction of field 'sxiclass_facet_str_nofts_noram' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[19/43] Compaction of field 'sxiclass_facet_str_fts_ram' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[20/43] Compaction of field 'sxiclass_facet_str_nofts_ram' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[21/43] Compaction of field 'sxiclass_nofacet_str_fts_ram' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[22/43] Compaction of field 'sxiclass_nofacet_str_nofts_ram' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.081] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[23/43] Compaction of field 'sxiclass_nofacet_str_fts_noram' for gen0=1 gen1=3803 skipped: nothing to compact
[2019/10/13-00:00:00.082] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	Compacting field 'sxiclass_nofacet_str_nofts_noram' for gen0=1 gen1=3803 didMin=1, didMax=14, didAddMax=14
[2019/10/13-00:00:00.093] [info] [Compacter-sxibg0-32549] [compacter.slice.0]	[24/43] Compacted field 'sxiclass_nofacet_str_nofts_noram' for gen0=1 gen1=3803 in 10.851ms
